,Integral Bipartite OMD,Naive Bipartite LFU,Naive Bipartite OMD,Optimal Static Cache
189,0.8789473684210526,1.0,0.9131578947368421,0.8947368421052632
190,0.8795811518324608,1.0,0.9136125654450262,0.8952879581151832
191,0.8802083333333334,1.0,0.9140625,0.8958333333333334
192,0.8808290155440415,1.0,0.9145077720207254,0.8963730569948186
193,0.8814432989690721,1.0,0.9149484536082474,0.8969072164948454
194,0.8769230769230769,1.0,0.9153846153846154,0.8974358974358975
195,0.8775510204081632,1.0,0.9158163265306123,0.8979591836734694
196,0.8730964467005076,1.0,0.9111675126903553,0.8934010152284264
197,0.8737373737373737,1.0,0.9090909090909091,0.8939393939393939
198,0.8743718592964824,1.0,0.9095477386934674,0.8944723618090452
199,0.875,1.0,0.91,0.895
200,0.8756218905472637,1.0,0.9104477611940298,0.8955223880597015
201,0.8762376237623762,1.0,0.9108910891089109,0.8960396039603961
202,0.8768472906403941,1.0,0.9113300492610837,0.896551724137931
203,0.8774509803921569,1.0,0.9117647058823529,0.8970588235294118
204,0.8780487804878049,1.0,0.9121951219512195,0.8975609756097561
205,0.8737864077669902,1.0,0.912621359223301,0.8980582524271845
206,0.8743961352657005,1.0,0.9130434782608695,0.8985507246376812
207,0.8701923076923077,1.0,0.9134615384615384,0.8990384615384616
208,0.8708133971291866,1.0,0.9138755980861244,0.8995215311004785
209,0.8714285714285714,1.0,0.9095238095238095,0.8952380952380953
210,0.8720379146919431,1.0,0.909952606635071,0.8957345971563981
211,0.8726415094339622,1.0,0.910377358490566,0.8962264150943396
212,0.8732394366197183,1.0,0.9107981220657277,0.8967136150234741
213,0.8738317757009346,1.0,0.9112149532710281,0.897196261682243
214,0.8697674418604651,1.0,0.9116279069767442,0.8976744186046511
215,0.8703703703703703,1.0,0.9120370370370371,0.8981481481481481
216,0.8663594470046083,1.0,0.9124423963133641,0.8940092165898618
217,0.8669724770642202,1.0,0.9128440366972477,0.8944954128440367
218,0.867579908675799,1.0,0.91324200913242,0.8949771689497716
219,0.8681818181818182,1.0,0.9136363636363637,0.8954545454545455
220,0.8687782805429864,1.0,0.9140271493212669,0.8959276018099548
221,0.8693693693693694,1.0,0.9144144144144144,0.8963963963963963
222,0.8699551569506726,1.0,0.9147982062780269,0.8968609865470852
223,0.8705357142857143,1.0,0.9151785714285714,0.8973214285714286
224,0.8711111111111111,1.0,0.9155555555555556,0.8977777777777778
225,0.8716814159292036,1.0,0.915929203539823,0.8982300884955752
226,0.8722466960352423,1.0,0.9162995594713657,0.8986784140969163
227,0.868421052631579,1.0,0.9166666666666666,0.8991228070175439
228,0.868995633187773,1.0,0.9170305676855895,0.8995633187772926
229,0.8695652173913043,1.0,0.9152173913043479,0.8956521739130435
230,0.8701298701298701,1.0,0.9155844155844156,0.8961038961038961
231,0.8706896551724138,1.0,0.915948275862069,0.896551724137931
232,0.871244635193133,1.0,0.9120171673819742,0.8969957081545065
233,0.8717948717948718,1.0,0.9123931623931624,0.8974358974358975
234,0.8723404255319149,1.0,0.9127659574468086,0.8978723404255319
235,0.8728813559322034,1.0,0.913135593220339,0.8983050847457628
236,0.869198312236287,1.0,0.9135021097046413,0.8945147679324894
237,0.8697478991596639,1.0,0.9138655462184874,0.8949579831932774
238,0.8702928870292888,1.0,0.9142259414225942,0.895397489539749
239,0.8708333333333333,1.0,0.9145833333333333,0.8958333333333334
240,0.8713692946058091,1.0,0.9149377593360996,0.8962655601659751
241,0.871900826446281,1.0,0.9152892561983471,0.8966942148760331
242,0.8724279835390947,1.0,0.9156378600823045,0.897119341563786
243,0.8729508196721312,1.0,0.9159836065573771,0.8975409836065574
244,0.8734693877551021,1.0,0.9142857142857143,0.8979591836734694
245,0.8739837398373984,1.0,0.9146341463414634,0.8983739837398373
246,0.8744939271255061,1.0,0.9149797570850202,0.8987854251012146
247,0.8709677419354839,1.0,0.9112903225806451,0.8991935483870968
248,0.8714859437751004,1.0,0.9116465863453815,0.8995983935742972
249,0.872,1.0,0.912,0.896
250,0.8725099601593626,1.0,0.9123505976095617,0.896414342629482
251,0.873015873015873,1.0,0.9126984126984127,0.8968253968253969
252,0.8735177865612648,1.0,0.9130434782608695,0.8972332015810277
253,0.8740157480314961,1.0,0.9133858267716536,0.8976377952755905
254,0.8745098039215686,1.0,0.9117647058823529,0.8980392156862745
255,0.875,1.0,0.912109375,0.8984375
256,0.8754863813229572,1.0,0.9124513618677043,0.8988326848249028
257,0.872093023255814,1.0,0.9127906976744186,0.8953488372093024
258,0.8725868725868726,1.0,0.9131274131274131,0.8957528957528957
259,0.8730769230769231,1.0,0.9115384615384615,0.8961538461538462
260,0.8735632183908046,1.0,0.9080459770114943,0.896551724137931
261,0.8740458015267175,1.0,0.9083969465648855,0.8969465648854962
262,0.8745247148288974,1.0,0.908745247148289,0.8973384030418251
263,0.875,1.0,0.9090909090909091,0.8977272727272727
264,0.8754716981132076,1.0,0.909433962264151,0.8981132075471698
265,0.8759398496240601,1.0,0.9097744360902256,0.8984962406015038
266,0.8726591760299626,1.0,0.9082397003745318,0.8951310861423221
267,0.8731343283582089,1.0,0.9085820895522388,0.8955223880597015
268,0.8736059479553904,1.0,0.9089219330855018,0.895910780669145
269,0.8740740740740741,1.0,0.9092592592592592,0.8962962962962963
270,0.8745387453874539,1.0,0.9059040590405905,0.8966789667896679
271,0.875,1.0,0.90625,0.8970588235294118
272,0.8754578754578755,1.0,0.9065934065934066,0.8974358974358975
273,0.8759124087591241,1.0,0.906934306569343,0.8978102189781022
274,0.8763636363636363,1.0,0.9072727272727272,0.8981818181818182
275,0.8731884057971014,1.0,0.907608695652174,0.8985507246376812
276,0.8736462093862816,1.0,0.907942238267148,0.8989169675090253
277,0.8705035971223022,1.0,0.9046762589928058,0.89568345323741
278,0.8709677419354839,1.0,0.9032258064516129,0.8960573476702509
